num,name,value
0,Beta (5Y Monthly),0.91
1,52-Week Change,124.80%
2,S&P500 52-Week Change,65.26%
3,52 Week High,67.03
4,52 Week Low,24.88
5,50-Day Moving Average,60.61
6,200-Day Moving Average,50.99
