num,name,value
0,Forward Annual Dividend Rate,3.12
1,Forward Annual Dividend Yield,5.46%
2,Trailing Annual Dividend Rate,1.56
3,Trailing Annual Dividend Yield,2.70%
4,5 Year Average Dividend Yield,4.89
5,Payout Ratio,87.27%
6,Dividend Date,"Mar 22, 2021"
7,Ex-Dividend Date,"Mar 03, 2021"
8,Last Split Factor,1:1
9,Last Split Date,"Jul 28, 2002"
