num,name,value
0,Avg Vol (3 month),1.71M
1,Avg Vol (10 day),2.23M
2,Shares Outstanding,2.53B
3,Float,2.5B
4,% Held by Insiders,0.01%
5,% Held by Institutions,4.36%
6,"Shares Short (Feb 25, 2021)",1.36M
7,"Short Ratio (Feb 25, 2021)",0.8
8,"Short % of Float (Feb 25, 2021)",N/A
9,"Short % of Shares Outstanding (Feb 25, 2021)",0.05%
10,"Shares Short (prior month Jan 28, 2021)",1.32M
