num,name,value
0,Market Cap (intraday),145.08B
1,Enterprise Value,162.78B
2,Trailing P/E,20.76
3,Forward P/E,N/A
4,PEG Ratio (5 yr expected),N/A
5,Price/Sales (ttm),3.14
6,Price/Book (mrq),2.95
7,Enterprise Value/Revenue,3.52
8,Enterprise Value/EBITDA,7.05
