num,name,value
0,Total Cash (mrq),9.46B
1,Total Cash Per Share (mrq),3.74
2,Total Debt (mrq),23.36B
3,Total Debt/Equity (mrq),43.73
4,Current Ratio (mrq),1.42
5,Book Value Per Share (mrq),19.35
