Date,portfolio_value,stock_price,spy,daily_ret,bt_ret,bm_ret,Benchmark,Backtest,Closeprice,Threshold,Drawdown
2018-01-02,1000.0,41.65999984741211,2695.81005859375,,,,,,,1,
2018-01-03,1000.0,42.0,2713.06005859375,0.008161309501517167,0.0,0.006398818768781567,1.0063988187687816,1.0,1.0081613095015172,1,-0.0
2018-01-04,1000.0,42.150001525878906,2723.989990234375,0.0035714649018787625,0.0,0.004028636080503967,1.0104274548492855,1.0,1.011732774403396,1,-0.0
2018-01-05,1000.0,42.47999954223633,2743.14990234375,0.007829134149729855,0.0,0.007033767443369587,1.0174612222926551,1.0,1.0195619085531258,1,-0.0
2018-01-08,1000.0,43.18000030517578,2747.7099609375,0.016478360887068,0.0,0.0016623439316436617,1.0191235662242988,1.0,1.0360402694401938,1,-0.0
2018-01-09,1000.0,43.279998779296875,2751.2900390625,0.002315851630716903,0.0,0.0013029315960912946,1.02042649782039,1.0,1.0383561210709107,1,-0.0
2018-01-10,1000.0,43.220001220703125,2748.22998046875,-0.0013862652561452693,0.0,-0.0011122268282528491,1.0193142709921372,1.0,1.0369698558147653,1,-0.0
2018-01-11,1000.0,44.25,2767.56005859375,0.023831530546174262,0.0,0.007033646478779465,1.0263479174709167,1.0,1.0608013863609398,1,-0.0
2018-01-12,1000.0,45.279998779296875,2786.239990234375,0.023276808571680796,0.0,0.006749602987881076,1.0330975204587978,1.0,1.0840781949326206,1,-0.0
2018-01-16,1000.0,44.16999816894531,2776.419921875,-0.024514148415990755,0.0,-0.003524487622672101,1.0295730328361257,1.0,1.0595640465166296,1,-0.0
2018-01-17,1000.0,44.38999938964844,2802.56005859375,0.004980784012298178,0.0,0.009415051560751175,1.0389880843968768,1.0,1.064544830528928,1,-0.0
2018-01-18,1000.0,44.41999816894531,2798.030029296875,0.0006758003989491002,0.0,-0.0016163897301626484,1.0373716946667142,1.0,1.065220630927877,1,-0.0
2018-01-19,1000.0,44.68000030517578,2810.300048828125,0.005853267603514567,0.0,0.004385235112838837,1.041756929779553,1.0,1.0710738985313917,1,-0.0
2018-01-22,1000.0,44.65999984741211,2832.969970703125,-0.00044763781618317733,0.0,0.008066726499347698,1.0498236562789007,1.0,1.0706262607152084,1,-0.0
2018-01-23,1000.0,44.04999923706055,2839.1298828125,-0.01365876875135974,0.0,0.0021743654797181655,1.051998021758619,1.0,1.0569674919638485,1,-0.0
2018-01-24,1000.0,44.52000045776367,2837.5400390625,0.010669721426639578,0.0,-0.0005599757022828333,1.0514380460563362,1.0,1.0676372133904883,1,-0.0
2018-01-25,1000.0,43.959999084472656,2839.25,-0.012578647069473647,0.0,0.0006026209018938911,1.0520406669582298,1.0,1.0550585663210146,1,-0.0
2018-01-26,1000.0,44.779998779296875,2872.8701171875,0.01865331464744857,0.0,0.011841196508761032,1.063881863466991,1.0,1.0737118809684632,1,-0.0
2018-01-29,1000.0,44.79999923706055,2853.530029296875,0.00044663819358836676,0.0,-0.006731974332887192,1.0571498891341038,1.0,1.0741585191620515,1,-0.0
2018-01-30,1000.0,44.279998779296875,2822.429931640625,-0.011607153272750637,0.0,-0.010898815620283941,1.0462510735138197,1.0,1.0625513658893009,1,-0.0
