Datetime,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2021-02-22 03:00:00+00:00,0.4831179678440094,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 03:30:00+00:00,0.478311836719513,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 04:00:00+00:00,0.4752336442470551,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 04:30:00+00:00,0.4760624766349793,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 05:00:00+00:00,0.48159936070442205,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 05:30:00+00:00,0.5220046043395996,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 06:00:00+00:00,0.5080779790878296,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 06:30:00+00:00,0.5001989603042603,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 07:00:00+00:00,0.5008798241615295,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 07:30:00+00:00,0.5046954154968262,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 08:00:00+00:00,0.5016427040100098,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 08:30:00+00:00,0.4937068223953247,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 09:00:00+00:00,0.4957871437072754,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 09:30:00+00:00,0.4794733226299286,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 10:00:00+00:00,0.478706568479538,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 10:30:00+00:00,0.4769104421138763,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 11:00:00+00:00,0.4760012924671173,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 11:30:00+00:00,0.4806107878684998,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 12:00:00+00:00,0.464013546705246,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 12:30:00+00:00,0.4651358723640442,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 13:00:00+00:00,0.4588886201381683,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 13:30:00+00:00,0.450591504573822,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 14:00:00+00:00,0.4284724295139313,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 14:30:00+00:00,0.4526675343513489,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 15:00:00+00:00,0.4380117952823639,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 15:30:00+00:00,0.4468172788619995,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 16:00:00+00:00,0.4624205529689789,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 16:30:00+00:00,0.4545240998268128,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 17:00:00+00:00,0.4517329931259155,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 17:30:00+00:00,0.4422346651554108,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 18:00:00+00:00,0.4509870409965515,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 18:30:00+00:00,0.4542322158813477,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 19:00:00+00:00,0.45687136054039,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 19:30:00+00:00,0.4603563249111176,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 20:00:00+00:00,0.466298907995224,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 20:30:00+00:00,0.4646219909191132,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 21:00:00+00:00,0.4690137207508087,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 21:30:00+00:00,0.4680781364440918,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 22:00:00+00:00,0.4628657102584839,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 22:30:00+00:00,0.4657413959503174,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 23:00:00+00:00,0.4571331143379211,1000.0,0.0,1000.0,0.0,hold,,
2021-02-22 23:30:00+00:00,0.4670595526695252,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 00:00:00+00:00,0.4565771222114563,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 00:30:00+00:00,0.4544456899166107,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 01:00:00+00:00,0.4490211308002472,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 01:30:00+00:00,0.4418247640132904,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 02:00:00+00:00,0.4412770569324493,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 02:30:00+00:00,0.4299169182777405,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 03:00:00+00:00,0.4351455569267273,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 03:30:00+00:00,0.4369933009147644,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 04:00:00+00:00,0.4362228810787201,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 04:30:00+00:00,0.4259749948978424,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 05:00:00+00:00,0.4020794928073883,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 05:30:00+00:00,0.4176530539989472,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 06:00:00+00:00,0.421216756105423,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 06:30:00+00:00,0.4065325856208801,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 07:00:00+00:00,0.4098792672157288,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 07:30:00+00:00,0.4077494144439697,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 08:00:00+00:00,0.3813128471374512,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 08:30:00+00:00,0.35839587450027466,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 09:00:00+00:00,0.3676806688308716,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 09:30:00+00:00,0.366632342338562,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 10:00:00+00:00,0.3738804757595062,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 10:30:00+00:00,0.3617051243782044,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 11:00:00+00:00,0.3541760444641113,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 11:30:00+00:00,0.3543420732021332,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 12:00:00+00:00,0.3609950542449951,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 12:30:00+00:00,0.38328003883361816,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 13:00:00+00:00,0.3827625811100006,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 13:30:00+00:00,0.38851237297058105,1000.0,0.0,1000.0,0.0,hold,,
2021-02-23 14:00:00+00:00,0.3945257067680359,999.9630856748025,935.6633690582407,630.8198337001385,369.14325197466405,buy,0.3945257067680359,
2021-02-23 14:30:00+00:00,0.3788890540599823,985.3324425211914,935.6633690582407,630.8198337001385,354.51260882105294,hold,,
2021-02-23 15:00:00+00:00,0.3908208310604096,996.4965691882628,935.6633690582407,630.8198337001385,365.6767354881244,hold,,
2021-02-23 15:30:00+00:00,0.3933684825897217,998.8803134013654,935.6633690582407,630.8198337001385,368.0604797012269,hold,,
2021-02-23 16:00:00+00:00,0.3879405558109283,993.8016011445181,935.6633690582407,630.8198337001385,362.9817674443796,hold,,
2021-02-23 16:30:00+00:00,0.38262781500816345,988.83066418607,935.6633690582407,630.8198337001385,358.0108304859315,hold,,
2021-02-23 17:00:00+00:00,0.3883826434612274,994.215246364816,935.6633690582407,630.8198337001385,363.39541266467756,hold,,
2021-02-23 18:00:00+00:00,0.3771478533744812,983.703264821589,935.6633690582407,630.8198337001385,352.8834311214505,hold,,
2021-02-23 19:00:00+00:00,0.3670307695865631,974.237080119541,935.6633690582407,630.8198337001385,343.41724641940255,hold,,
2021-02-23 19:30:00+00:00,0.3604409694671631,968.0712455384028,935.6633690582407,630.8198337001385,337.2514118382643,hold,,
2021-02-23 20:00:00+00:00,0.36368000507354736,971.1018925063719,935.6633690582407,630.8198337001385,340.2820588062334,hold,,
2021-02-23 20:30:00+00:00,0.3711735308170319,978.1133100496453,935.6633690582407,630.8198337001385,347.2934763495068,hold,,
2021-02-23 21:00:00+00:00,0.3764763474464417,983.0749613226169,935.6633690582407,630.8198337001385,352.2551276224784,hold,,
2021-02-23 21:30:00+00:00,0.3805831670761109,986.9175620134276,935.6633690582407,630.8198337001385,356.0977283132892,hold,,
