Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,63.22999954223633,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,62.86000061035156,999.9725215639983,4.371370622801962,725.1881615465941,274.7843600174042,buy,62.86000061035156,
2018-01-04,63.65999984741211,1003.468714869021,4.088663073354024,743.1844242431844,260.28429062583666,sell,,63.65999984741211
2018-01-05,63.22000122070313,1001.6687257313611,4.244151888536404,733.35343815724,268.315287574121,buy,63.22000122070313,
2018-01-08,65.22000122070311,1010.1547247328957,3.537382340888602,779.4466441420475,230.70808059084823,sell,,65.22000122070311
2018-01-09,67.09999847412111,1016.8027648822404,2.8730199366999223,824.023131513556,192.7796333686843,sell,,67.09999847412111
2018-01-10,68.05999755859375,1019.5597069266363,2.5337708773624037,847.1112671993152,172.44843972732113,sell,,68.05999755859375
2018-01-11,69.11000061035156,1022.2188918994439,2.1627157864025612,872.7536025811459,149.46528931829798,sell,,69.11000061035156
2018-01-12,71.48999786376953,1027.3631431807446,1.32166099530194,932.8776014499814,94.4855417307632,sell,,71.48999786376953
2018-01-16,72.58000183105469,1028.8023610515615,0.9364701898557151,960.8333529571056,67.96900809445593,sell,,72.58000183105469
2018-01-17,72.6500015258789,1028.8679136790633,0.9364701898557151,960.8333529571056,68.0345607219578,hold,,
2018-01-18,71.70999908447266,1027.9854247210374,1.243915913682784,938.7842156896841,89.2012090313534,buy,71.70999908447266,
2018-01-19,71.91000366210938,1028.233959473149,1.1732373412508856,943.8664579672744,84.36750150587466,sell,,71.91000366210938
2018-01-22,73.51000213623047,1030.109059245676,0.6078222423550095,985.4280449117108,44.68101433396514,sell,,73.51000213623047
2018-01-23,73.20999908447266,1029.926710718043,0.6078222423550095,985.4280449117108,44.49866580633236,hold,,
2018-01-24,74.69000244140625,1030.8247324124773,0.19082810139833128,1016.5717810531469,14.252951359330282,sell,,74.69000244140625
