Datetime,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2021-02-21 07:00:00+00:00,12.34878635406494,1000.0,0.0,1000.0,0.0,hold,,
2021-02-21 07:30:00+00:00,12.353780746459961,999.9944969397732,4.454555524095952,944.9638946721598,55.030602267613425,buy,12.353780746459961,
2021-02-21 08:00:00+00:00,12.439595222473145,1000.3761018742221,3.3927625779393793,958.1715087187017,42.20459315552037,sell,,12.439595222473145
2021-02-21 08:30:00+00:00,12.549527168273926,1000.7482213718763,2.0325612455837074,975.2405387992429,25.507682572633428,sell,,12.549527168273926
2021-02-21 09:00:00+00:00,12.583867073059082,1000.8177519924122,1.6076694281825894,980.5870536107416,20.23069838167061,sell,,12.583867073059082
2021-02-21 09:30:00+00:00,12.69581413269043,1000.9968465871971,0.2225348473774602,998.1715855268462,2.825261060350867,sell,,12.69581413269043
2021-02-21 10:00:00+00:00,12.685037612915039,1000.9942792947502,0.35587403690848873,996.4800037511061,4.514275543644095,buy,12.685037612915039,
2021-02-21 10:30:00+00:00,12.713799476623535,1001.0042886697399,0.0,1001.0042886697399,0.0,sell,,12.713799476623535
2021-02-21 11:00:00+00:00,12.689452171325685,1001.003906397241,0.3012521689138339,997.1811814083009,3.8227249889402217,buy,12.689452171325685,
2021-02-21 11:30:00+00:00,12.65732192993164,1000.9937238987488,0.6988035524969973,992.1487423690145,8.844981529734381,buy,12.65732192993164,
2021-02-21 12:00:00+00:00,12.566906929016113,1000.929135695176,1.8175193526622024,978.0885391485845,22.840596546591513,buy,12.566906929016113,
2021-02-21 12:30:00+00:00,12.503219604492188,1000.8123974828633,2.6055303629339335,968.234879168928,32.5775183139352,buy,12.503219604492188,
2021-02-21 13:00:00+00:00,12.501859664916992,1000.8088330825069,2.6223570606570377,968.0244931188685,32.7843399636385,buy,12.501859664916992,
2021-02-21 13:30:00+00:00,12.452729225158693,1000.679238529358,3.2302539657073908,960.4537605659089,40.225477963449194,buy,12.452729225158693,
