Date,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2018-01-02,154.55999755859375,1000.0,0.0,1000.0,0.0,hold,,
2018-01-03,155.74000549316406,999.9985697074685,0.09183847958959213,985.6956443917015,14.302925315766913,buy,155.74000549316406,
2018-01-04,153.75999450683594,999.81425415861,0.2527613718791706,960.9496670069284,38.86458715168158,buy,153.75999450683594,
2018-01-05,156.8699951171875,1000.5983596456689,0.0,1000.5983596456689,0.0,sell,,156.8699951171875
2018-01-08,155.8300018310547,1000.597042505966,0.0845241408870141,987.4256454767742,13.17139702919173,buy,155.8300018310547,
2018-01-09,154.25999450683594,1000.4623706225788,0.21212450334643407,967.7400459015926,32.72232472098622,buy,154.25999450683594,
2018-01-10,153.77999877929688,1000.359951855397,0.25113554989899356,961.7403272984917,38.61962455690528,buy,153.77999877929688,
2018-01-11,153.52999877929688,1000.2968560190034,0.2714539841653618,958.6205261614601,41.67632985754327,buy,153.52999877929688,
2018-01-12,153.6999969482422,1000.3428965203364,0.2576375976808887,960.7439985430314,39.598897977305036,sell,,153.6999969482422
2018-01-16,152.5399932861328,1000.0425978495339,0.35191543031015193,946.3614204727368,53.681177376797116,buy,152.5399932861328,
2018-01-17,156.5500030517578,1001.4512311130801,0.026006950988769262,997.3798428564213,4.071388256658744,sell,,156.5500030517578
2018-01-18,155.1300048828125,1001.4125109572824,0.1414155088050837,979.4747223858443,21.93778857143805,buy,155.1300048828125,
2018-01-19,155.19000244140625,1001.4209577054833,0.13653928300336382,980.2314260428434,21.18953166263989,sell,,155.19000244140625
2018-01-22,153.05999755859375,1001.1274786914629,0.3096527397972384,953.7320310940858,47.39544759737718,buy,153.05999755859375,
2018-01-23,153.00999450683594,1001.1119329272226,0.31371667467827535,953.1101462579968,48.00178666922575,buy,153.00999450683594,
2018-01-24,152.86000061035156,1001.0646909958257,0.3259072391825715,951.2465102154598,49.81818078036587,buy,152.86000061035156,
2018-01-25,154.85000610351562,1001.7119959573556,0.1641720559723101,976.2899520880167,25.42204386933893,sell,,154.85000610351562
2018-01-26,153.49000549316406,1001.4870253002058,0.27470438798690466,959.3226472790996,42.164378021106266,buy,153.49000549316406,
2018-01-29,150.89999389648438,1000.772361305974,0.4852043094919729,927.5550339650873,73.21732734088663,buy,150.89999389648438,
2018-01-30,149.91000366210938,1000.2908075989226,0.5656645154979518,915.4920380090992,84.79876958982328,buy,149.91000366210938,
2018-01-31,150.3000030517578,1000.5111782139481,0.5339678076479704,920.2558150949178,80.25536311903038,sell,,150.3000030517578
2018-02-01,147.99000549316406,999.2749354859666,0.721709941847001,892.4690772275578,106.80585825840879,buy,147.99000549316406,
2018-02-02,146.1300048828125,997.9303455180329,0.8728791423943321,870.376512177844,127.55383334018893,buy,146.1300048828125,
2018-02-05,140.9600067138672,993.4116390210893,1.293064214206165,811.1412987051269,182.27034031596241,buy,140.9600067138672,
