,true_value,prediction
0,1901.050048828125,1839.8547
1,1899.4000244140625,1817.8612
2,1917.239990234375,1812.1798
3,1830.7900390625,1813.9778
4,1863.1099853515625,1817.6224
5,1835.739990234375,1820.3633
6,1901.3499755859375,1821.6919
