Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell,benchmark
2018-01-02,40.13999938964844,1000.0,0.0,0.0,1000.0,0.0,hold,,,2695.81005859375
2018-01-03,40.40999984741211,999.95,-0.049999999999954525,24.74511268932949,0.0,999.95,buy,40.40999984741211,,2713.06005859375
2018-01-04,40.77000045776367,1008.8582556713769,8.908255671376878,24.74511268932949,0.0,1008.8582556713769,hold,,,2723.989990234375
2018-01-05,40.7400016784668,1008.1159324971334,-0.7423231742435519,24.74511268932949,0.0,1008.1159324971334,hold,,,2743.14990234375
2018-01-08,40.72999954223633,1007.8684285089764,-0.24750398815695007,24.74511268932949,0.0,1007.8684285089764,hold,,,2747.7099609375
2018-01-09,40.2400016784668,995.6438018148534,-12.224626694123003,0.0,995.6438018148534,0.0,sell,,40.2400016784668,2751.2900390625
2018-01-10,39.15999984741211,995.6438018148534,0.0,0.0,995.6438018148534,0.0,hold,,,2748.22998046875
2018-01-11,39.4900016784668,995.6438018148534,0.0,0.0,995.6438018148534,0.0,hold,,,2767.56005859375
2018-01-12,39.7400016784668,995.5940196247626,-0.04978219009080931,25.052691936956496,-1.1368683772161603e-13,995.5940196247627,buy,39.7400016784668,,2786.239990234375
2018-01-16,39.779998779296875,996.5960546702299,1.0020350454673235,25.052691936956496,-1.1368683772161603e-13,996.59605467023,hold,,,2776.419921875
2018-01-17,39.810001373291016,997.3477004148748,0.7516457446448612,25.052691936956496,-1.1368683772161603e-13,997.3477004148749,hold,,,2802.56005859375
2018-01-18,39.720001220703125,995.0929543178113,-2.254746097063503,25.052691936956496,-1.1368683772161603e-13,995.0929543178114,hold,,,2798.030029296875
2018-01-19,39.38999938964844,986.8255201057666,-8.26743421204469,25.052691936956496,-1.1368683772161603e-13,986.8255201057667,hold,,,2810.300048828125
2018-01-22,39.63999938964844,993.0886930900057,6.263172984239077,25.052691936956496,-1.1368683772161603e-13,993.0886930900058,hold,,,2832.969970703125
2018-01-23,39.4900016784668,989.3308466405235,-3.7578464494821446,25.052691936956496,-1.1368683772161603e-13,989.3308466405236,hold,,,2839.1298828125
2018-01-24,39.5,989.5813315097814,0.25048486925788893,25.052691936956496,-1.1368683772161603e-13,989.5813315097815,hold,,,2837.5400390625
2018-01-25,38.619998931884766,967.5349358460978,-22.046395663683597,25.052691936956496,-1.1368683772161603e-13,967.5349358460979,hold,,,2839.25
2018-01-26,38.189998626708984,956.666594440665,-10.86834140543283,0.0,956.666594440665,0.0,sell,,38.189998626708984,2872.8701171875
2018-01-29,37.58000183105469,956.666594440665,0.0,0.0,956.666594440665,0.0,hold,,,2853.530029296875
2018-01-30,36.810001373291016,956.666594440665,0.0,0.0,956.666594440665,0.0,hold,,,2822.429931640625
2018-01-31,36.630001068115234,956.618761110943,-0.0478333297220388,26.11571753252381,0.0,956.618761110943,buy,36.630001068115234,,2823.81005859375
2018-02-01,35.86000061035156,936.4159956914073,-20.202765419535694,0.0,936.4159956914073,0.0,sell,,35.86000061035156,2821.97998046875
2018-02-02,34.70000076293945,936.3691748916227,-0.04682079978454112,26.984701853139164,0.0,936.3691748916227,buy,34.70000076293945,,2762.1298828125
