Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2021-02-20 21:00:00+00:00,1965.5439453125,1000.0,0.0,0.0,1000.0,0.0,hold,,
2021-02-20 21:30:00+00:00,1974.8780517578125,999.9749999999999,-0.02500000000009095,0.5063477206149187,1.1368683772161603e-13,999.9749999999998,buy,1974.8780517578125,
2021-02-20 22:00:00+00:00,1941.6251220703125,983.1128764125949,-16.862123587404994,0.0,983.1128764125949,0.0,sell,,1941.6251220703125
2021-02-20 22:30:00+00:00,1900.7767333984373,983.0882985906845,-0.024577821910384046,0.5172034575744207,0.0,983.0882985906845,buy,1900.7767333984373,
2021-02-20 23:00:00+00:00,1920.49853515625,993.2884826494226,10.200184058738046,0.5172034575744207,0.0,993.2884826494226,hold,,
2021-02-20 23:30:00+00:00,1919.3531494140625,992.6960851833068,-0.5923974661158127,0.5172034575744207,0.0,992.6960851833068,hold,,
2021-02-21 00:00:00+00:00,1912.5794677734373,989.192713618267,-3.5033715650397426,0.5172034575744207,0.0,989.192713618267,hold,,
2021-02-21 00:30:00+00:00,1917.9609375,991.9760283676774,2.7833147494103514,0.5172034575744207,0.0,991.9760283676774,hold,,
2021-02-21 01:00:00+00:00,1921.472412109375,993.7673303724514,1.7913020047740247,0.0,993.7673303724514,0.0,sell,,1921.472412109375
2021-02-21 01:30:00+00:00,1936.037841796875,993.7424861891919,-0.024844183259460806,0.5132867058357082,-1.1368683772161603e-13,993.742486189192,buy,1936.037841796875,
2021-02-21 02:00:00+00:00,1950.6824951171875,1001.2343605652798,7.4918743760878215,0.0,1001.2343605652798,0.0,sell,,1950.6824951171875
2021-02-21 04:00:00+00:00,1933.7529296875,1001.2093297062653,-0.025030859014464113,0.5177545250664798,-1.1368683772161603e-13,1001.2093297062654,buy,1933.7529296875,
2021-02-21 04:30:00+00:00,1944.6356201171875,1006.8187208238356,5.60939111757034,0.0,1006.8187208238356,0.0,sell,,1944.6356201171875
2021-02-21 05:00:00+00:00,1946.8634033203125,1006.7935503558148,-0.025170468020860426,0.5171362041316104,-1.1368683772161603e-13,1006.7935503558149,buy,1946.8634033203125,
2021-02-21 05:30:00+00:00,1946.73046875,1006.7248050767256,-0.06874527908917116,0.5171362041316104,-1.1368683772161603e-13,1006.7248050767257,hold,,
2021-02-21 06:30:00+00:00,1938.6785888671875,1002.5358224558422,-4.188982620883394,0.0,1002.5358224558422,0.0,sell,,1938.6785888671875
2021-02-21 07:00:00+00:00,1916.52490234375,1002.5358224558422,0.0,0.0,1002.5358224558422,0.0,hold,,
2021-02-21 07:30:00+00:00,1914.0084228515625,1002.510759060281,-0.025063395561232937,0.5237755210955144,1.1368683772161603e-13,1002.5107590602809,buy,1914.0084228515625,
2021-02-21 08:00:00+00:00,1929.0098876953125,1010.3681591260121,7.857400065731099,0.5237755210955144,1.1368683772161603e-13,1010.368159126012,hold,,
2021-02-21 08:30:00+00:00,1938.0272216796875,1015.065840652122,4.697681526109932,0.0,1015.065840652122,0.0,sell,,1938.0272216796875
2021-02-21 09:00:00+00:00,1939.8167724609373,1015.0404640061056,-0.02537664601641154,0.5232661550391589,1.1368683772161603e-13,1015.0404640061055,buy,1939.8167724609373,
