Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2021-02-20 21:00:00+00:00,0.5224125981330872,1000.0,0.0,0.0,1000.0,0.0,hold,,
2021-02-20 21:30:00+00:00,0.5221911668777466,999.9749999999999,-0.02500000000009095,1914.959622888662,0.0,999.9749999999999,buy,0.5221911668777466,
2021-02-20 22:00:00+00:00,0.5094810128211975,975.6355681810139,-24.339431818985986,1914.959622888662,0.0,975.6355681810139,hold,,
2021-02-20 22:30:00+00:00,0.4983935654163361,954.3796939909506,-21.25587419006331,0.0,954.3796939909506,0.0,sell,,0.4983935654163361
2021-02-20 23:00:00+00:00,0.5098341107368469,954.3796939909506,0.0,0.0,954.3796939909506,0.0,hold,,
2021-02-20 23:30:00+00:00,0.5095493793487549,954.3796939909506,0.0,0.0,954.3796939909506,0.0,hold,,
2021-02-21 00:00:00+00:00,0.504264771938324,954.3796939909506,0.0,0.0,954.3796939909506,0.0,hold,,
2021-02-21 01:30:00+00:00,0.5061629414558411,954.3796939909506,0.0,0.0,954.3796939909506,0.0,hold,,
2021-02-21 02:00:00+00:00,0.5145983695983887,954.3796939909506,0.0,0.0,954.3796939909506,0.0,hold,,
2021-02-21 03:00:00+00:00,0.5150862336158752,954.3796939909506,0.0,0.0,954.3796939909506,0.0,hold,,
2021-02-21 03:30:00+00:00,0.5140945911407471,954.3796939909506,0.0,0.0,954.3796939909506,0.0,hold,,
2021-02-21 04:00:00+00:00,0.5112017393112183,954.3558344986008,-0.023859492349856737,1866.8869080619295,0.0,954.3558344986008,buy,0.5112017393112183,
2021-02-21 04:30:00+00:00,0.5125079751014711,956.7705091335407,2.4146746349399564,0.0,956.7705091335407,0.0,sell,,0.5125079751014711
2021-02-21 05:00:00+00:00,0.5132709741592407,956.7465898708123,-0.023919262728441026,1864.0184971262072,0.0,956.7465898708123,buy,0.5132709741592407,
2021-02-21 05:30:00+00:00,0.5156251192092896,961.1347597890214,4.388169918209087,1864.0184971262072,0.0,961.1347597890214,hold,,
2021-02-21 07:30:00+00:00,0.5036421418190002,938.798268282877,-22.336491506144398,1864.0184971262072,0.0,938.798268282877,hold,,
2021-02-21 08:00:00+00:00,0.5064253211021423,943.9861659474723,5.187897664595312,1864.0184971262072,0.0,943.9861659474723,hold,,
2021-02-21 08:30:00+00:00,0.5101723670959473,950.9707289895073,6.984563042035006,1864.0184971262072,0.0,950.9707289895073,hold,,
2021-02-21 09:00:00+00:00,0.5171913504600525,964.0542438112205,13.083514821713266,1864.0184971262072,0.0,964.0542438112205,hold,,
2021-02-21 09:30:00+00:00,0.5158246159553528,961.5066254137997,-2.5476183974208197,1864.0184971262072,0.0,961.5066254137997,hold,,
2021-02-21 10:00:00+00:00,0.5317768454551697,991.2418762718607,29.735250858061022,1864.0184971262072,0.0,991.2418762718607,hold,,
2021-02-21 10:30:00+00:00,0.5364135503768921,999.8847800116674,8.642903739806684,1864.0184971262072,0.0,999.8847800116674,hold,,
2021-02-21 11:00:00+00:00,0.5459850430488586,1017.7262193973211,17.841439385653644,1864.0184971262072,0.0,1017.7262193973211,hold,,
2021-02-21 11:30:00+00:00,0.5408481359481812,1008.1509295436392,-9.575289853681852,1864.0184971262072,0.0,1008.1509295436392,hold,,
2021-02-21 12:00:00+00:00,0.552720844745636,1030.2818783530881,22.13094880944891,1864.0184971262072,0.0,1030.2818783530881,hold,,
2021-02-21 12:30:00+00:00,0.5429776906967163,1012.0951559740771,-18.18672237901103,0.0,1012.0951559740771,0.0,sell,,0.5429776906967163
