Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell,bechmark,benchmark
2018-01-02,41.65999984741211,1000.0,0.0,0.0,1000.0,0.0,hold,,,2695.81005859375,2695.81005859375
2018-01-03,42.0,1000.0,0.0,0.0,1000.0,0.0,hold,,,2713.06005859375,2713.06005859375
2018-01-04,42.150001525878906,1000.0,0.0,0.0,1000.0,0.0,hold,,,2723.989990234375,2723.989990234375
2018-01-05,42.47999954223633,1000.0,0.0,0.0,1000.0,0.0,hold,,,2743.14990234375,2743.14990234375
2018-01-08,43.18000030517578,1000.0,0.0,0.0,1000.0,0.0,hold,,,2747.7099609375,2747.7099609375
2018-01-09,43.279998779296875,1000.0,0.0,0.0,1000.0,0.0,hold,,,2751.2900390625,2751.2900390625
2018-01-10,43.220001220703125,1000.0,0.0,0.0,1000.0,0.0,hold,,,2748.22998046875,2748.22998046875
2018-01-11,44.25,1000.0,0.0,0.0,1000.0,0.0,hold,,,2767.56005859375,2767.56005859375
2018-01-12,45.279998779296875,1000.0,0.0,0.0,1000.0,0.0,hold,,,2786.239990234375,2786.239990234375
2018-01-16,44.16999816894531,1000.0,0.0,0.0,1000.0,0.0,hold,,,2776.419921875,2776.419921875
2018-01-17,44.38999938964844,1000.0,0.0,0.0,1000.0,0.0,hold,,,2802.56005859375,2802.56005859375
2018-01-18,44.41999816894531,1000.0,0.0,0.0,1000.0,0.0,hold,,,2798.030029296875,2798.030029296875
2018-01-19,44.68000030517578,1000.0,0.0,0.0,1000.0,0.0,hold,,,2810.300048828125,2810.300048828125
2018-01-22,44.65999984741211,1000.0,0.0,0.0,1000.0,0.0,hold,,,2832.969970703125,2832.969970703125
2018-01-23,44.04999923706055,1000.0,0.0,0.0,1000.0,0.0,hold,,,2839.1298828125,2839.1298828125
2018-01-24,44.52000045776367,1000.0,0.0,0.0,1000.0,0.0,hold,,,2837.5400390625,2837.5400390625
2018-01-25,43.959999084472656,1000.0,0.0,0.0,1000.0,0.0,hold,,,2839.25,2839.25
2018-01-26,44.779998779296875,1000.0,0.0,0.0,1000.0,0.0,hold,,,2872.8701171875,2872.8701171875
2018-01-29,44.79999923706055,1000.0,0.0,0.0,1000.0,0.0,hold,,,2853.530029296875,2853.530029296875
2018-01-30,44.279998779296875,1000.0,0.0,0.0,1000.0,0.0,hold,,,2822.429931640625,2822.429931640625
2018-01-31,44.52000045776367,1000.0,0.0,0.0,1000.0,0.0,hold,,,2823.81005859375,2823.81005859375
2018-02-01,44.720001220703125,1000.0,0.0,0.0,1000.0,0.0,hold,,,2821.97998046875,2821.97998046875
2018-02-02,43.02000045776367,1000.0,0.0,0.0,1000.0,0.0,hold,,,2762.1298828125,2762.1298828125
2018-02-05,41.810001373291016,1000.0,0.0,0.0,1000.0,0.0,hold,,,2648.93994140625,2648.93994140625
2018-02-06,42.97999954223633,999.95,-0.049999999999954525,23.265472560495304,0.0,999.95,buy,42.97999954223633,,2695.139892578125,2695.139892578125
2018-02-07,41.709999084472656,970.305798914163,-29.64420108583704,0.0,970.305798914163,0.0,sell,,41.709999084472656,2681.659912109375,2681.659912109375
2018-02-08,40.5099983215332,970.2572836242174,-0.048515289945612494,23.951057117385126,0.0,970.2572836242174,buy,40.5099983215332,,2581.0,2581.0
2018-02-09,41.279998779296875,988.6996085685278,18.44232494431037,23.951057117385126,0.0,988.6996085685278,hold,,,2619.550048828125,2619.550048828125
